,VOC,JSC,FF,PCE
1079,710.0,11.3,0.66,5.2
1080,660.0,14.2,0.6,5.68
1082,570.0,10.8,0.65,4.0
1084,690.0,9.5,0.71,4.6
1085,583.0,3.09,0.56,1.02
1086,573.0,4.07,0.69,1.6
1087,575.0,5.75,0.66,2.19
1088,558.0,7.91,0.63,2.78
1090,735.0,10.33,0.68,5.16
1091,455.0,2.3,0.69,0.72
1092,553.0,8.9,0.7,3.45
1093,540.0,8.3,0.71,3.18
1094,560.0,7.5,0.7,2.94
1095,390.0,1.1,0.67,0.29
1096,710.0,9.6,0.71,4.9
1097,660.0,9.9,0.7,4.6
1098,760.0,7.2,0.72,3.9
1099,630.0,4.1,0.75,1.9
1100,700.0,9.0,0.72,4.6
1102,640.0,11.5,0.66,4.8
1103,760.0,8.9,0.65,4.4
1104,620.0,5.9,0.72,2.7
1105,610.0,9.1,0.62,3.4
1106,490.0,3.0,0.61,0.9
1107,600.0,7.2,0.63,2.7
1108,710.0,9.5,0.68,4.5
1109,670.0,10.2,0.69,4.8
1110,510.0,3.5,0.64,1.1
1111,640.0,8.6,0.63,3.4
1113,386.5,1.02,0.677,0.27
1115,372.0,1.45,0.662,0.36
1116,590.0,6.9,0.68,2.7
1117,640.0,9.7,0.66,4.1
1118,540.0,5.5,0.64,1.9
1119,590.0,5.2,0.54,1.6
1120,670.0,14.3,0.65,6.2
1124,640.0,18.47,0.69,8.21
1125,688.0,14.26,0.73,7.19
1128,659.0,11.42,0.724,5.45
1129,671.0,13.03,0.728,6.36
1130,549.0,12.71,0.721,5.04
1131,576.0,10.92,0.724,4.55
1132,601.0,15.48,0.709,6.6
1133,650.0,15.09,0.729,7.15
1134,630.0,0.76,0.54,0.26
1135,710.0,11.01,0.78,6.08
1137,700.0,2.14,0.66,0.98
1139,700.0,2.34,0.45,0.75
1140,651.0,10.95,0.64,4.56
1141,688.0,13.2,0.67,6.08
1142,660.0,11.4,0.74,5.56
1143,787.0,15.58,0.67,8.22
1144,754.0,14.73,0.65,7.25
1145,735.0,15.78,0.6,7.0
1148,606.0,13.7,0.69,5.7
1151,605.0,15.2,0.68,6.3
1154,608.0,14.1,0.7,6.0
1156,710.0,10.43,0.76,5.63
1159,572.0,2.32,0.706,0.9
1161,688.0,16.44,0.712,8.1
1162,720.0,6.4,0.71,3.3
1164,740.0,12.51,0.7,6.52
1165,517.0,2.6,0.462,0.6
1166,548.0,5.3,0.66,1.9
1167,558.0,4.9,0.66,1.8
1168,554.0,5.9,0.619,2.2
1172,553.0,8.28,0.62,2.92
1173,621.0,7.76,0.68,3.78
1174,592.0,8.28,0.66,3.44
1175,545.0,6.16,0.61,2.11
1176,575.0,8.76,0.46,2.37
1177,726.0,10.59,0.68,5.2
1178,615.0,13.84,0.65,5.5
1179,694.0,16.36,0.72,8.2
1182,691.0,13.07,0.683,6.21
1183,749.0,9.43,0.722,5.07
1184,694.0,15.47,0.672,7.26
1185,731.0,13.79,0.703,7.08
1186,744.0,9.89,0.709,5.2
1188,741.0,11.12,0.678,5.59
1190,724.0,13.26,0.661,6.68
1192,737.0,12.31,0.666,6.35
1194,722.0,12.14,0.655,6.04
1196,540.0,6.43,0.68,2.36
1197,607.0,6.96,0.65,2.74
1198,626.0,7.25,0.69,3.14
1199,611.0,9.43,0.7,4.03
1200,630.0,11.7,0.71,5.26
1202,617.0,13.76,0.75,6.47
1203,820.0,8.7,0.77,5.5
1204,750.0,6.1,0.81,3.8
1206,956.0,17.03,0.77,12.5
1207,610.0,5.9,0.67,2.4
1208,670.0,5.8,0.66,2.6
1209,520.0,6.7,0.63,2.2
1210,490.0,1.1,0.53,0.29
1211,492.0,0.715,0.433,0.152
1212,513.0,1.674,0.485,0.416
1213,693.0,8.11,0.719,4.04
1214,662.0,6.43,0.63,2.68
1215,697.0,15.62,0.6,6.55
1225,606.0,8.18,0.75,3.73
1226,690.0,10.4,0.73,5.27
1227,658.0,6.54,0.76,3.28
1228,738.0,8.19,0.76,4.58
1229,579.0,18.79,0.534,5.8
1230,552.0,12.31,0.566,3.85
1231,584.0,15.37,0.591,5.3
1233,620.0,17.15,0.72,7.64
1234,670.0,16.85,0.628,7.07
1236,672.0,9.912,0.7027,4.68
1237,780.0,11.21,0.65,5.67
1238,692.0,8.85,0.726,4.44
1239,597.0,9.95,0.61,3.59
1242,709.0,18.33,0.59,7.71
1244,646.0,13.86,0.56,5.03
1246,689.0,17.22,0.58,6.94
1247,758.0,9.93,0.54,4.06
1256,370.0,2.81,0.64,0.67
1257,494.0,14.31,68.0,4.8
1259,638.0,4.1,0.697,1.82
1260,650.0,6.27,0.699,2.85
1261,632.0,5.89,0.705,2.62
1262,589.0,3.78,0.663,1.48
1268,810.0,11.78,0.6,5.73
1269,754.0,12.06,0.62,5.6
1270,730.0,12.9,0.67,6.23
1271,563.0,18.2,0.57,5.84
1272,456.0,4.5,0.62,1.27
1281,730.0,11.4,0.69,5.7
1283,725.0,11.6,0.63,5.2
1284,720.0,13.2,0.65,6.1
1285,750.0,12.23,0.73,6.74
1286,760.0,9.78,0.74,5.53
1287,523.0,14.72,68.0,5.26
1291,745.0,10.22,0.59,4.48
1292,782.0,8.92,0.6,4.2
1293,790.0,10.51,0.61,5.05
1294,665.0,6.47,0.672,2.86
1295,657.0,8.42,0.694,3.84
1296,717.0,9.05,0.687,4.46
1297,749.0,12.54,0.671,6.3
1298,650.0,3.24,0.627,1.32
1299,597.0,2.51,0.73,1.1
1300,662.0,4.62,0.74,2.27
1301,785.0,12.34,0.7,6.74
1302,663.0,12.25,0.68,5.51
1305,765.0,14.2,0.66,7.17
1308,715.0,13.5,0.65,6.27
1313,580.0,15.0,0.65,5.72
1314,540.0,10.6,0.59,3.37
1315,560.0,13.0,0.63,4.55
1316,620.0,17.9,0.66,7.3
1317,425.0,16.17,67.0,4.59
1318,691.6,11.96,0.6737,5.57
1319,578.5,9.89,0.6729,3.85
1320,676.3,11.39,0.6866,5.29
1321,687.5,12.29,0.7118,6.01
1326,707.0,12.62,0.61,5.43
1327,714.0,13.22,0.64,6.02
1328,745.0,12.83,0.64,6.12
1330,697.0,20.85,0.666,9.67
1331,679.0,14.89,0.701,7.09
1332,661.0,16.56,0.65,7.11
1338,690.0,13.7,0.61,5.71
1341,564.0,13.0,0.59,4.32
1342,476.0,2.2,0.6,0.63
1343,464.0,16.15,68.0,5.1
1344,679.0,14.77,0.72,7.2
1346,715.0,6.58,0.72,10.26
1349,701.0,6.34,0.73,9.83
1354,661.0,6.21,0.74,9.2
1357,797.0,10.33,0.64,5.3
1358,793.0,9.45,0.67,5.04
1360,760.0,12.7,0.69,6.65
1361,810.0,13.39,0.7,7.6
1362,620.0,5.47,0.66,2.23
1363,640.0,10.44,0.62,4.12
1364,650.0,2.98,0.66,1.27
1366,580.0,1.47,0.57,0.48
1367,620.0,4.62,0.62,1.78
1368,440.0,0.39,0.47,0.08
1369,600.0,2.31,0.6,0.83
1370,690.0,16.59,0.64,7.36
